#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-7602.982711410606	-7592.572324374623	-10.410387035981923	-7592.572324374623	3.5338720092411458	-10.410387035981923	1.0
1000	-6466.189269495675	-6463.390459104792	-2.7988103908824264	-6463.390459104792	0.9776390677274941	-2.7988103908824264	1.2269863822469476
2000	-6468.288710776845	-6465.213802731044	-3.0749080458010765	-6465.213802731044	0.9234381067847467	-3.0749080458010765	2.8854957176377725
3000	-6472.675205483372	-6469.404103304132	-3.271102179240141	-6469.404103304132	0.971413318458626	-3.271102179240141	2.793498954450773
4000	-6464.819470521244	-6462.006495163808	-2.812975357435848	-6462.006495163808	0.9896560358006528	-2.812975357435848	1.9161399620877293
5000	-6469.426207019355	-6466.027377861946	-3.3988291574091907	-6466.027377861946	1.109462915912303	-3.3988291574091907	1.0681921658365587
6000	-6465.738688935136	-6462.948123284418	-2.790565650718375	-6462.948123284418	0.9690399078956379	-2.790565650718375	1.2174572712585774
7000	-6466.856799792824	-6463.9215757011025	-2.9352240917211527	-6463.9215757011025	1.03506170843319	-2.9352240917211527	1.4822995550963198
8000	-6466.274998100063	-6463.593541514225	-2.681456585838455	-6463.593541514225	0.9992607300583037	-2.681456585838455	1.9130087745636237
9000	-6466.707845127615	-6463.30470751988	-3.403137607734572	-6463.30470751988	1.0355365754462609	-3.403137607734572	0.946415368152053
10000	-6465.520068296463	-6462.87830253283	-2.6417657636326632	-6462.87830253283	0.9343322653070688	-2.6417657636326632	1.330098663116742
11000	-6472.235266382887	-6467.353312408537	-4.881953974350237	-6467.353312408537	1.0371269648694608	-4.881953974350237	0.5329852311787311
12000	-6468.547311029992	-6465.474175953049	-3.0731350769428576	-6465.474175953049	1.1054038371805168	-3.0731350769428576	1.716182984780294
13000	-6467.156084546672	-6462.920382757799	-4.235701788872619	-6462.920382757799	1.061121133441304	-4.235701788872619	2.9156608991007382
14000	-6467.707455950446	-6465.321041982975	-2.3864139674719307	-6465.321041982975	0.8489146030294452	-2.3864139674719307	1.3041247656391424
