"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8206.50881076204,5.58232590921199,0.0000000211378151022986
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8224.42936655737,6.52490596720825,3.48547201524822e-16
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8208.57782966994,5.81525618780321,0.00000000266990986517767
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8203.40610210215,5.15191239471129,0.000000470488859746803
"5","GTR","relaxed_log_normal","yule",-8246.78939924523,5.68381052173498,6.78301517442907e-26
"6","GTR","strict","birth_death",-8235.14695437469,3.12686443632999,7.72097865400796e-21
"7","GTR","strict","coalescent_bayesian_skyline",-8195.0434360491,4.0830821039783,0.00201562188656963
"8","GTR","strict","coalescent_constant_population",-8227.98564935741,7.27435079910401,9.94918723549711e-18
"9","GTR","strict","coalescent_exp_population",-8246.87249362366,4.83670039875064,6.2421666437232e-26
"10","GTR","strict","yule",-8220.47683506805,6.53194368225699,1.81478096562817e-14
"11","HKY","relaxed_log_normal","birth_death",-8195.34393886772,3.93399722967918,0.00149245879480599
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8207.7300625895,4.96520049743425,0.00000000623271351356831
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8201.40040376739,4.65831268151117,0.00000349633520996177
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8197.960898379,4.71049790228063,0.000108986140791184
"15","HKY","relaxed_log_normal","yule",-8198.78001192968,4.28209069831634,0.0000480435155778666
"16","HKY","strict","birth_death",-8198.22091178895,6.00331894004393,0.0000840328098038392
"17","HKY","strict","coalescent_bayesian_skyline",-8299.59324875529,7.39118569185852,7.92505569812906e-49
"18","HKY","strict","coalescent_constant_population",-8198.42170241783,4.91969082230461,0.0000687458716905623
"19","HKY","strict","coalescent_exp_population",-8263.02356347902,2.49095289681315,6.03969271867572e-33
"20","HKY","strict","yule",-8197.63816708507,4.4488288923853,0.000150498334753571
"21","JC69","relaxed_log_normal","birth_death",-8190.07134164132,3.50685973312352,0.290912398024741
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8202.05269161088,5.10485999876397,0.00000182107592418733
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8191.85054877448,4.17515494471169,0.0490978404417198
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8190.16787755165,3.81434337807815,0.264141851149533
"25","JC69","relaxed_log_normal","yule",-8191.69265497455,3.78606733917746,0.0574956245951676
"26","JC69","strict","birth_death",-8197.48501230853,3.83746469470628,0.000175406615506542
"27","JC69","strict","coalescent_bayesian_skyline",-8193.46998640334,4.01463970303788,0.00972186451025368
"28","JC69","strict","coalescent_constant_population",-8195.88015685045,4.11850931343797,0.000873023307794233
"29","JC69","strict","coalescent_exp_population",-8192.60413564031,4.19164825480587,0.0231091394194821
"30","TN93","relaxed_log_normal","birth_death",-8190.07162441216,3.73958409459511,0.29083014811043
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8232.05355589384,3.92747465766344,1.70262200633702e-19
"32","TN93","relaxed_log_normal","coalescent_constant_population",-8193.48416215777,3.84521255711103,0.00958502196103131
"33","TN93","relaxed_log_normal","coalescent_exp_population",-8206.58047120414,5.33106563532292,0.000000019676070053585
"34","TN93","relaxed_log_normal","yule",-8200.08527408628,5.42489871678198,0.000013024666961807
"35","TN93","strict","birth_death",-8199.8170798613,4.5681929344359,0.0000170310686398576
"36","TN93","strict","coalescent_bayesian_skyline",-8209.87719211453,5.69988890831863,0.000000000728099378543662
"37","TN93","strict","coalescent_constant_population",-8199.41519370613,4.51728869248745,0.0000254553362870084
"38","TN93","strict","coalescent_exp_population",-8234.82087374229,4.22500443150126,1.06976250304036e-20
"39","TN93","strict","yule",-8199.32187745373,4.33352816577267,0.0000279450938390354
