"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-6385.79625992103,6.64129658635674,0.00000000394589076564773
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-6386.75460097814,4.89020562862698,0.00000000151336200283666
"3","GTR","relaxed_log_normal","coalescent_constant_population",-6388.78173094847,5.97812909701934,0.000000000199329448599407
"4","GTR","relaxed_log_normal","coalescent_exp_population",-6411.78027073907,7.51247408644745,2.04848384111026e-20
"5","GTR","relaxed_log_normal","yule",-6384.02599450146,5.62241717604516,0.0000000231718955235897
"6","GTR","strict","birth_death",-6385.4044473483,5.53148227350928,0.00000000583857813783454
"7","GTR","strict","coalescent_bayesian_skyline",-6391.1579810186,5.54638124132198,1.85173643677313e-11
"8","GTR","strict","coalescent_constant_population",-6382.79938402694,5.66509000316503,0.0000000790081189740979
"9","GTR","strict","coalescent_exp_population",-6389.90262252782,6.09616831654993,6.49792115939036e-11
"10","GTR","strict","yule",-6395.11891290929,7.38836006421301,3.52669830409303e-13
"11","HKY","relaxed_log_normal","birth_death",-6379.71820607053,5.15915973154214,0.00000172111665196871
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-6387.50764024875,5.66407716961466,0.00000000071269223280769
"13","HKY","relaxed_log_normal","coalescent_constant_population",-6374.87329303594,5.05024168336837,0.000218740551469725
"14","HKY","relaxed_log_normal","coalescent_exp_population",-6379.05437717526,5.24445902701503,0.00000334277797957038
"15","HKY","relaxed_log_normal","yule",-6384.68322868662,5.26844592974576,0.0000000120095955488487
"16","HKY","strict","birth_death",-6384.43067201083,6.20551963758176,0.0000000154601019121013
"17","HKY","strict","coalescent_bayesian_skyline",-6383.83258983998,5.19360760383172,0.0000000281161686024353
"18","HKY","strict","coalescent_constant_population",-6382.65058869851,5.75172452233533,0.0000000916838226286013
"19","HKY","strict","coalescent_exp_population",-6390.37175647187,6.23464629010094,4.0647342270622e-11
"20","HKY","strict","yule",-6378.95498121453,4.89002287461299,0.00000369211015541639
"21","JC69","relaxed_log_normal","birth_death",-6371.75432478998,4.24540402142957,0.00494857322669668
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-6371.01157140445,4.10798712232732,0.0104004875362756
"23","JC69","relaxed_log_normal","coalescent_constant_population",-6377.20456812995,4.73405214572344,0.0000212554054474116
"24","JC69","relaxed_log_normal","coalescent_exp_population",-6366.88766235504,3.93009365200473,0.642753783747567
"25","JC69","relaxed_log_normal","yule",-6369.01739714156,3.55152502925825,0.0764033807939241
"26","JC69","strict","birth_death",-6371.0345885049,3.8494330838698,0.0101638324745628
"27","JC69","strict","coalescent_bayesian_skyline",-6377.20199885632,4.66410369950338,0.00002131008661554
"28","JC69","strict","coalescent_constant_population",-6367.8245713967,3.95748766878018,0.251854790003391
"29","JC69","strict","coalescent_exp_population",-6372.18914036575,4.25175379517633,0.00320362737412344
"30","TN93","relaxed_log_normal","birth_death",-6389.45604851529,5.31868496647586,0.000000000101559152262095
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-6394.08692241849,6.18311749115783,9.8981968029168e-13
"32","TN93","relaxed_log_normal","coalescent_constant_population",-6386.84736336345,5.52662695783732,0.00000000137929332200214
"33","TN93","relaxed_log_normal","coalescent_exp_population",-6386.91550547429,5.26472218599363,0.00000000128843611846418
"34","TN93","relaxed_log_normal","yule",-6395.63021870174,6.42162760861254,2.1150031802976e-13
"35","TN93","strict","birth_death",-6382.35114644285,5.09666052709953,0.000000123691208174134
"36","TN93","strict","coalescent_bayesian_skyline",-6381.58047770244,4.01293074399162,0.000000267322807105073
"37","TN93","strict","coalescent_constant_population",-6387.86221235596,5.53745793779529,0.000000000499934739533657
"38","TN93","strict","coalescent_exp_population",-6390.32648059597,6.62315717891177,4.2529983825844e-11
"39","TN93","strict","yule",-6380.47600248315,5.0499864005487,0.000000806684116925615
